,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
4,Barnes,Mandela,D,WI,0,65799,34900,34900,443500,661334,61535,4150,19733,0,154977,454150,21719,251415,0,0,0,5800,0,2213912,1307282.0
10,Beasley,Cheri,D,NC,0,83211,47250,47250,426600,873299,102954,12060,46264,0,189199,443100,17546,239217,0,0,0,1108271,0,3636221,1753203.0
13,Bengs,Brian,D,SD,0,0,2000,2000,0,0,0,0,0,0,250,5000,0,0,0,0,0,0,0,9250,44405.0
14,Bennet,Michael,D,CO,0,52400,16000,16000,369400,640358,83298,43733,21590,0,115269,371400,25234,180400,0,0,0,4901,1,1939984,1397170.0
20,Blumenthal,Richard,D,CT,0,14000,2000,2000,377900,119836,23750,0,53795,0,122007,403900,20062,246413,0,0,0,0,1,1385664,723864.0
22,Bolduc,Don,R,NH,5000,0,4000,0,0,0,0,0,0,6103,0,160900,0,1000,4000,137500,92597,0,0,411100,243583.0
24,Booker,Charles,D,KY,0,14200,3000,3000,36000,45395,8900,0,0,0,25453,41000,0,0,0,0,0,0,0,176948,562928.0
26,Boozman,John,R,AR,3662,0,5000,0,0,0,4812,5000,0,30793,2964,431300,0,143610,5000,360000,54399,0,1,1046541,587990.0
39,Budd,Ted,R,NC,27981,0,37740,0,0,6400,0,28379,0,90519,5000,435200,0,144156,37740,343100,1124391,0,1,2280607,1887701.0
42,Busch Valentine,Trudy,D,MO,0,0,2000,2000,27500,4625,250,0,0,0,1275,27500,1275,0,0,0,0,0,0,66425,579166.0
52,Chambers,Gary,D,LA,0,0,-2500,-2500,0,500,54,0,0,0,260,0,0,0,0,0,0,2500,0,-1686,235077.0
55,Christiansen,Katrina,D,ND,0,0,2000,2000,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,5000,51076.0
62,Crapo,Mike,R,ID,1000,0,2177,0,0,0,0,2900,0,15644,0,364200,0,139059,2177,330000,48247,0,1,905405,54745.0
66,Demings,Val,D,FL,0,19130,59706,59706,423601,476246,64654,3650,26458,0,153593,436701,25550,19562,0,0,0,1000662,1,2769220,3201522.0
68,Duckworth,Tammy,D,IL,0,11367,18401,18401,352900,378518,33928,175059,22349,0,210942,363400,21878,229100,0,0,0,773519,1,2609763,2329136.0
75,Fetterman,John,D,PA,0,55735,19160,19160,304900,923907,91214,19500,30930,0,119844,317150,18218,244100,0,0,1000,5697,0,2170515,2637598.0
80,Franken,Mike,D,IA,0,1000,3500,3500,22000,71253,4340,33738,0,0,6800,32000,0,11975,0,0,0,85,0,190191,519094.0
87,Grassley,Chuck,R,IA,0,0,3000,0,0,109460,0,0,0,43386,0,449000,0,80391,3000,391700,144524,0,1,1224462,672242.0
96,Hassan,Maggie,D,NH,0,102244,65115,65115,369700,1314473,135669,30620,34665,0,215284,380200,41293,354690,0,0,0,1241348,1,4350417,298351.0
103,Hoeven,John,R,ND,2000,0,4000,0,0,0,2900,0,0,14769,0,284900,0,211236,4000,248500,39488,0,1,811794,114031.0
106,Holland,Mark,D,KS,0,0,2500,2500,0,240,3150,0,0,0,0,0,0,0,0,0,425,0,0,8815,372214.0
107,Horn,Kendra,D,OK,0,250,2000,2000,13500,10808,1000,0,0,0,0,13500,0,0,0,0,0,0,0,43058,404686.0
108,Horn,Madison,D,OK,0,0,0,0,250,250,0,0,0,0,0,250,0,0,0,0,0,0,0,750,368969.0
115,James,Natalie,D,AR,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,276792.0
117,Johnson,Ron,R,WI,100,0,14150,0,0,75,0,18341,0,186267,8531,463200,0,107414,14150,383000,1289131,0,1,2484360,1334680.0
122,Kelly,Mark,D,AZ,0,120215,36690,35690,449800,1480216,152297,367236,226023,0,236143,480200,67306,201430,0,0,250,802738,1,4656235,1322027.0
124,Kennedy,John,R,LA,22452,0,4000,0,0,0,6800,15900,0,139152,4629,410800,0,74175,4000,382500,11900,0,1,1076309,1326448.0
