state,anti_abortion,pro_israel,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,womens_issues,republican,republican_leadership_pac,republican_candidate_committees,lgbtqia_rights,leadership_pacs,human_rights
AK,11960,175693,12000,3000,35000,5950,41612,7000,0,14771,44652,314916,353500,9000,0,431833,59984
AL,6000,104750,23066,0,0,0,17400,0,0,42105,34000,548749,289000,23066,0,355400,17365
AR,3662,143610,10000,0,0,0,5812,7900,0,30793,0,482919,360000,10000,0,431300,2964
AZ,18235,222520,57690,42690,479800,2774992,153797,367236,226023,58567,802738,737378,142000,14000,67306,702900,240453
CA,0,30850,47600,47500,454300,323695,24455,5800,30700,0,2000,158825,0,100,42612,474200,193394
CO,0,202692,21981,16810,366900,643258,84813,57978,21590,16650,4976,153271,167000,5171,25234,567400,114694
CT,1035,260513,7000,6000,392900,120851,24935,12800,54398,0,6040,57301,79500,1000,20062,544900,122007
DE,0,400,4000,4000,45000,10600,12400,0,0,0,0,0,0,0,0,52000,2400
FL,39116,385090,70106,59706,423601,477246,64654,20250,26458,133701,1000662,1506430,182500,10400,25550,696101,170083
GA,60008,556068,129101,64501,548700,2377469,333017,9844,139217,202655,1412307,-709267,369900,63300,120350,1013900,883218
HI,0,6000,14500,14500,262500,56737,11071,1000,6000,0,8675,0,0,0,12,272500,19652
IA,0,92366,14500,11500,34000,206966,7854,35238,2850,43386,126657,133009,391700,3000,0,501300,10189
ID,1000,139059,3177,0,-500,0,0,7900,0,15644,0,51190,345000,3177,0,379700,0
IL,200,230350,24851,22401,352900,379103,34615,175059,21594,0,773544,28634,13000,2450,21878,387291,213442
IN,66,170528,9000,2000,0,227420,18450,1000,0,19144,0,184683,287500,7000,0,350900,23753
KS,0,195460,13000,3500,0,240,3150,0,0,23519,0,73090,243843,9500,0,289143,16600
KY,0,0,10000,3000,36000,45395,14700,0,0,212113,0,2060587,260000,7000,0,340800,112427
LA,22452,74175,3000,-1000,0,11731,9629,24311,0,139152,2500,45147,377500,4000,0,408300,5514
MA,0,763,12500,12500,7500,19446,3821,250,176,0,52,0,0,0,0,9000,1015
MD,0,54230,13500,13500,374400,100991,21186,7525,20375,0,19572,6924,0,0,4500,384400,24150
ME,0,0,0,0,37500,1000,2900,0,0,2000,0,10916,0,0,0,45500,3600
MI,0,0,8000,8000,42500,104674,10878,0,0,0,0,0,0,0,0,52500,23715
MN,0,0,4018,4018,132500,7025,10060,0,0,0,0,-28540,0,0,0,137500,8650
MO,32135,110610,61990,5250,27500,39531,7708,10120,0,66525,13400,1985057,443600,56740,1275,540150,8130
MS,1000,0,2000,0,0,0,1000,0,0,0,0,18936,200000,2000,0,201500,2500
MT,0,0,0,0,50000,383,7244,0,0,0,0,40074,2000,0,0,59000,-275
NC,27981,395575,104320,52580,426600,879699,109254,40439,46264,90519,1113271,1183935,423500,50740,17546,994200,203099
ND,3000,211236,6000,0,0,0,3400,0,0,14769,0,49068,308500,6000,0,350400,0
NE,0,-3900,2000,0,0,0,0,500,0,0,0,32533,96000,2000,0,99000,1000
NH,10000,356190,71615,66615,369700,1317373,139689,34520,34665,6103,1241361,123577,137500,5000,41293,544600,215887
NJ,0,120200,14228,11228,106000,247609,29174,24200,0,0,0,3000,11800,3000,0,129700,83200
NM,0,0,9000,8000,140794,44052,8441,0,1150,0,0,0,0,0,0,145794,2500
NV,9300,455302,69943,59043,532200,1086858,144401,13200,16906,67325,1207972,985925,260500,10900,11839,908600,205726
NY,0,546007,20892,18800,309900,590277,133885,10200,75586,0,210304,23110,12500,2000,71061,344800,142415
OH,18011,679640,81182,49792,589700,898715,70300,53330,57171,68452,368398,1401803,297400,31390,0,1040900,105222
OK,16321,345360,49663,2000,13750,11058,3900,0,0,40658,0,188461,489800,47663,0,556249,52250
OR,0,199974,7000,7000,271500,281238,69327,0,10900,0,0,9865,0,0,18672,282000,105222
PA,13550,372935,70760,37660,414301,1280547,89289,49963,21330,14433,123944,149961,315900,33100,23918,822751,178590
RI,0,500,1250,1250,75390,24900,9864,0,0,0,50,0,0,0,0,76390,50
SC,22905,130830,13000,1500,-10000,8600,8910,1500,0,85549,0,1167649,295000,11500,0,365090,132067
SD,7725,229382,600,2000,0,40550,15500,0,0,38542,0,171183,297500,-1400,0,348000,250
TN,0,0,-7600,-6000,0,0,11100,1000,0,7000,0,1203768,187500,-1600,0,200500,0
TX,50,0,2614,-4000,-2500,177276,50,0,0,6225,0,1808147,30000,6614,0,27500,-4840
UT,11928,84023,25500,4000,0,484973,16125,2263,0,32766,0,493252,428900,21500,0,493600,20549
VA,0,12900,9000,9000,25000,49625,5407,5400,0,0,0,0,0,0,0,25000,9425
VT,0,79891,41600,41600,452901,63766,24097,2250,5500,0,5402,23580,34500,0,4012,515401,28863
WA,1000,232527,25500,22500,346500,553005,71019,7475,48860,100156,569458,599767,250500,3000,32702,636300,167549
WI,100,365079,66050,51900,503500,956273,72453,22491,19733,186267,189585,1289131,383000,14150,22744,998350,169658
WV,2500,0,3000,1000,15000,18350,6500,0,5750,0,0,18150,9500,2000,0,34500,14900
WY,1000,0,1500,0,0,0,2900,0,0,2500,0,46055,110000,1500,0,125000,0
Grand Total,342240,7969378,1265197,780844,8683237,16949447,1972146,1019942,893196,1781989,9281520,18832149,8887343,479961,572566,19694043,4113206
