,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
0,Arkoosh,Val,D,PA,0,500,4000,4000,5000,-8014,1800,0,0,0,7529,5000,0,0,0,0,0,106012,0,125827,
1,Ayotte,Kelly,R,NH,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,-2000,
2,Baer,Dan,D,CO,0,0,0,0,0,0,0,-287,0,0,-575,0,0,0,0,0,0,0,0,-862,
3,Baldwin,Tammy,D,WI,0,300,8000,8000,60000,254550,3235,0,0,0,1100,80000,1025,2000,0,0,0,1500,1,419711,
4,Barnes,Mandela,D,WI,0,65799,34900,34900,443500,661334,61535,4150,19733,0,154977,454150,21719,251415,0,0,0,5800,0,2213912,1307282.0
5,Barnette,Kathy,R,PA,7900,0,2000,0,0,0,0,0,0,0,6564,6000,0,0,2000,6000,109023,0,0,139487,
6,Barrasso,John A,R,WY,0,0,1500,0,0,0,2900,0,0,0,0,100000,0,0,1500,85000,44055,0,1,234956,
7,Bartos,Jeff,R,PA,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,-105561,0,0,-104561,
8,Bartos,Jeff,R,PA,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,-105561,0,0,-104561,
9,Battino,Gillian,D,WI,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,383,
10,Beasley,Cheri,D,NC,0,83211,47250,47250,426600,873299,102954,12060,46264,0,189199,443100,17546,239217,0,0,0,1108271,0,3636221,1753203.0
11,Becker,Rick,R,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850,0,0,8850,
12,Beebe,Rodney Jason,R,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,
13,Bengs,Brian,D,SD,0,0,2000,2000,0,0,0,0,0,0,250,5000,0,0,0,0,0,0,0,9250,44405.0
14,Bennet,Michael,D,CO,0,52400,16000,16000,369400,640358,83298,43733,21590,0,115269,371400,25234,180400,0,0,0,4901,1,1939984,1397170.0
15,Bequette,Jake,R,AR,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,35855,0,0,39855,
16,Beyer,Brad,R,WI,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,
17,Black,Gary,R,GA,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,5000,14149,0,0,24149,
18,Blackburn,Marsha,R,TN,0,0,0,0,0,0,0,0,0,0,0,165500,0,0,0,160000,1173717,0,1,1499218,
19,Blanchard,Lynda,R,AL,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,3400,0,0,8400,
20,Blumenthal,Richard,D,CT,0,14000,2000,2000,377900,119836,23750,0,53795,0,122007,403900,20062,246413,0,0,0,0,1,1385664,723864.0
21,Blunt,Roy,R,MO,0,0,0,0,0,0,0,0,0,0,1200,-15000,0,0,0,-15000,-16759,0,1,-45558,
22,Bolduc,Don,R,NH,5000,0,4000,0,0,0,0,0,0,6103,0,160900,0,1000,4000,137500,92597,0,0,411100,243583.0
23,Bollier,Barbara,D,KS,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,
24,Booker,Charles,D,KY,0,14200,3000,3000,36000,45395,8900,0,0,0,25453,41000,0,0,0,0,0,0,0,176948,562928.0
25,Booker,Cory,D,NJ,0,8800,10000,10000,40500,247109,24049,0,0,0,28900,41500,0,10400,0,0,0,0,1,421259,
26,Boozman,John,R,AR,3662,0,5000,0,0,0,4812,5000,0,30793,2964,431300,0,143610,5000,360000,54399,0,1,1046541,587990.0
27,Bourn,Brenda,R,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,269,
28,Bradley,James,R,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12980,0,0,12980,
29,Bradshaw,Marquita,D,TN,0,0,0,0,0,0,-2500,0,0,0,0,0,0,0,0,0,0,0,0,-2500,
30,Braun,Mike,R,IN,0,0,0,0,0,0,8700,0,0,0,0,28500,0,0,0,25000,44460,0,1,106661,
31,Bremer,Eli,R,CO,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,2000,10200,0,0,16200,
32,Britt,Katie Boyd,R,AL,5000,0,5900,0,0,0,17400,0,0,19253,13850,307000,0,102550,5900,263500,58068,34000,0,832421,
33,Brnovich,Mark Mr.,R,AZ,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,28358,0,0,33358,
34,Brooks,Mo,R,AL,0,0,17500,0,0,0,0,0,0,10327,3515,28400,0,2200,17500,20500,424210,0,1,524153,
35,Brown,Sam,R,NV,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,324700,0,0,327200,
36,Brown,Scott,R,NH,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,4000,
37,Brown,Sherrod,D,OH,0,20,0,0,97500,102159,1281,0,0,0,1423,107500,0,2351,0,0,0,100,1,312335,
38,Bruce,Catherine,D,SC,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,
39,Budd,Ted,R,NC,27981,0,37740,0,0,6400,0,28379,0,90519,5000,435200,0,144156,37740,343100,1124391,0,1,2280607,1887701.0
40,Bullock,Steve,D,MT,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,-500,
